prenom,nom,titre_livre,nbpages,isbn,publisher_name
Edward,Abbey,Black Sun (Edward Abbey novel),159,978-1-55566-286-8,Simon & Schuster
Edward,Abbey,Fire on the Mountain (Abbey novel),211,0-8263-0457-5,Dial Press
Edward,Abbey,Hayduke Lives,352,"ISBN 0-316-00411-1 (first edition, hardback)","Little, Brown and Company"
Edward,Abbey,Jonathan Troy,374,1-131-40684-2,"Dodd, Mead and Company"
Edward,Abbey,The Monkey Wrench Gang,352,ISBN 0-397-01084-2 (hardback edition),Lippincott Williams & Wilkins
Edward,Abbey,The Brave Cowboy,277,0-8263-0448-6,"Dodd, Mead and Company"
Edward,Abbey,The Fool's Progress,485,0-8050-0921-3,Henry Holt and Company
Marc,Acito,"How I Paid for College: A Novel of Sex, Theft, Friendship, and Musical Theater",288,"ISBN 0-7679-1841-X (first edition, hardback)",Broadway Books
Kathy,Acker,Blood and Guts in High School,165,ISBN 0-8021-3193-X (Paperback edition),Grove Press
Warren,Adler,The War of the Roses (novel),263,0-446-51220-6,Hachette Book Group
Will,Aitken,Terre Haute (novel),288,0-85449-131-7,Gay Men's Press
Mitch,Albom,The Five People You Meet in Heaven,208,978-0-7868-6871-1,Hyperion Books
Mitch,Albom,Tuesdays with Morrie,192,0-385-48451-8,Doubleday (publisher)
Louisa May,Alcott,A Long Fatal Love Chase,242,ISBN 0-679-44510-2,Random House
Lloyd,Alexander,The Castle of Llyr,204,"0-8050-1115-3 (first edition, hard)",Henry Holt and Company
Lloyd,Alexander,Westmark (novel),184,"ISBN 0-525-42335-4 (first edition, hard)",E. P. Dutton
Roger MacBride,Allen,The Depths of Time,471,0-553-57497-3,Bantam Spectra
Roger MacBride,Allen,Isaac Asimov's Caliban,312,0-441-09079-6,Ace Books
Roger MacBride,Allen,The War Machine,338,ISBN 0-671-69845-1 (Paperback edition),Baen Books
Roger MacBride,Allen,Farside Cannon,406,0-671-65428-4,Baen Books
Roger MacBride,Allen,The Ring of Charon,512,978-0-8125-3014-8,Tor Books
Roger MacBride,Allen,Allies and Aliens,726,ISBN 0-671-87658-9,Baen Books
Sarah Addison,Allen,Garden Spells,304,0553805487,Bantam Books
Dorothy,Allison,Bastard out of Carolina,320,ISBN 0-452-28705-7 (paperback),Plume (publisher)
Jennifer,Allison,Gilda Joyce: Psychic Investigator,321,0-525-47375-0,Dutton Children's Books
Jennifer,Allison,Gilda Joyce: The Ladies of the Lake,334,ISBN,Dutton Children's Books
Aaron,Allston,Exile (Star Wars novel),337,ISBN 0-345-47753-7,Del Rey Books
Aaron,Allston,Outcast (Star Wars novel),256,0345509064,Del Rey Books
Aaron,Allston,Enemy Lines: Rebel Dream,302,ISBN 0-345-42866-8,Del Rey Books
Aaron,Allston,Enemy Lines: Rebel Stand,384,ISBN 0-345-42868-4,Del Rey Books
Aaron,Allston,Iron Fist (novel),336,ISBN 0-553-57897-9,Bantam Spectra
Aaron,Allston,Solo Command,352,ISBN 0-553-57900-2,Bantam Spectra
Aaron,Allston,Starfighters of Adumar,320,ISBN 0-553-57418-3,Bantam Spectra
Aaron,Allston,Fury (Star Wars novel),384,978-0-345-47756-9,Del Rey Books
Aaron,Allston,Betrayal (Star Wars novel),352,"ISBN 0-345-47734-0 (hardcover), ISBN 0-345-47735-9 (paperback)",Del Rey Books
Aaron,Allston,Wraith Squadron,403,0-553-57894-4,Bantam Spectra
Aaron,Allston,Conviction (Star Wars novel),380,978-0-345-50910-9,Del Rey Books
Aaron,Allston,Mercy Kill,398,978-0-345-53059-2,Del Rey Books
Steve,Alten,The Trench (novel),432,ISBN 0-7860-1114-9 (Paperback),Kensington Books
Steve,Alten,Meg: A Novel of Deep Terror,337,ISBN 0-9761659-1-0 (Paperback),Bantam Books
Steve,Alten,Meg: Primal Waters,480,ISBN 0-7653-4785-7 (Paperback),Tor Books
Steven-Elliot,Altman,Batman: Fear Itself,320,0-345-47943-2,Del Rey Books
Julia,Alvarez,In the Time of the Butterflies,344,"ISBN 978-1-56512-038-9 (first edition, hardback)",Workman Publishing Company
Julia,Alvarez,How the García Girls Lost Their Accents,286,0-452-26806-0,Workman Publishing Company
Stephen,Ambrose,The Wild Blue,304,978-0-7434-5062-1,Simon & Schuster
Stephen,Ambrose,Citizen Soldiers,512,ISBN 0-684-81525-7 (hardcover),Simon & Schuster
Stephen,Ambrose,Undaunted Courage,592,978-0-7434-7788-8,Simon & Schuster
Stephen,Ambrose,Nothing Like It in the World,432,978-0-7432-0430-9,Simon & Schuster
Rudolfo,Anaya,"Bless Me, Ultima",262,0-446-60025-3,Quinto Sol
Poul,Anderson,The Many Worlds of Poul Anderson,324,0-8019-5950-0,Chilton Company
Poul,Anderson,The Best of Poul Anderson,287,0-671-80671-8,Pocket Books
Poul,Anderson,Orion Shall Rise,463,0-932096-20-4,Phantasia Press
Poul,Anderson,Three Hearts and Three Lions,191,NA,Doubleday (publisher)
Poul,Anderson,Earthman's Burden,185,NA,Gnome Press
Poul,Anderson,The Merman's Children,319,0-399-12375-X,Berkley Books
Poul,Anderson,Time and Stars,249,NA,Doubleday (publisher)
Poul,Anderson,A Midsummer Tempest,207,0-385-05505-6,Doubleday (publisher)
Poul,Anderson,The High Crusade,192,NA,Doubleday (publisher)
Poul,Anderson,Inconstant Star,314,ISBN 0-671-72031-7 (paperback edition) (1st edition),Baen Books
Poul,Anderson,The Boat of a Million Years,470,0-312-93199-9,Tor Books
Poul,Anderson,Isaac's Universe,300,0-312-87449-9,Tor Books
Poul,Anderson,Winners (collection),299,0-523-48507-7,Tor Books
Poul,Anderson,Tau Zero,208,ISBN 1-56865-278-X,Doubleday (publisher)
Poul,Anderson,After Doomsday,128,NA,Ballantine Books
Poul,Anderson,Hoka! Hoka! Hoka!,305,0-671-57774-3,Baen Books
Poul,Anderson,Hokas Pokas!,278,0-671-57858-8,Baen Books
Poul,Anderson,Conan the Rebel,208,0-553-13831-6,Bantam Books
Poul,Anderson,Fire Time,210,ISBN 0-385-05582-X,Doubleday (publisher)
Poul,Anderson,The People of the Wind,176,9780839823537,New American Library
Poul,Anderson,Starfarers (Poul Anderson novel),383,0-312-86037-4,Tor Books
Poul,Anderson,The Dark Between the Stars (collection),207,ISBN 0-425-04291-X,Berkley Books
Sherwood,Anderson,Marching Men,314,N/A,John Lane (publisher)
Sherwood,Anderson,Tar: A Midwest Childhood,346,N/A,Boni & Liveright
Sherwood,Anderson,Windy McPherson's Son,347,N/A,John Lane (publisher)
Roger,Angell,Season Ticket: A Baseball Companion,406,ISBN 0-395-38165-7,Houghton Mifflin Harcourt
Maya,Angelou,Oh Pray My Wings Are Gonna Fit Me Well,66,ISBN 978-0679457077 (hardcover 1st edition),Random House
Maya,Angelou,Letter to My Daughter,166,978-0-8129-8003-5,Random House
Maya,Angelou,Even the Stars Look Lonesome,145,0-553-37972-0,Random House
Maya,Angelou,"Great Food, All Day Long",218,1-4000-6844-4,Random House
Maya,Angelou,Hallelujah! The Welcome Table,218,1-4000-6289-6,Random House
Maya,Angelou,Just Give Me a Cool Drink of Water 'fore I Diiie,48,ISBN 978-0-394-47142-6 (hardcover 1st edition),Random House
Donald,Antrim,The Afterlife: A Memoir,193,978-0312426354,"Farrar, Straus and Giroux"
Kathi,Appelt,Keeper (Appelt novel),399,ISBN 978-1-4169-5060-8,Atheneum Books
Catherine,Asaro,The Last Hawk,448,0-312-86044-7,Tor Books
Catherine,Asaro,Ascendant Sun,384,ISBN 978-0-312-86824-6,Tor Books
Catherine,Asaro,The Ruby Dice,400,1-4165-5514-5,Baen Books
John,Ashbery,Chinese Whispers (Ashbery book),100,0374122571,"Farrar, Straus and Giroux"
John,Ashbery,Where Shall I Wander,81,0-06-076529-1,Ecco Press
John,Ashbery,Hotel Lautréamont,157,0679415122,Alfred A. Knopf
John,Ashbery,Planisphere (book),160,9780061915215,HarperCollins
John,Ashbery,Self-portrait in a Convex Mirror (book),83,0-14-058668-7,Penguin Books
John,Ashbery,Flow Chart,216,0679402012,Alfred A. Knopf
John,Ashbery,The Tennis Court Oath (book),94,0819520136,Wesleyan University Press
John,Ashbery,Girls on the Run (poem),55,0374162700,"Farrar, Straus and Giroux"
Janet,Asimov,Mind Transfer (novel),312,ISBN 0-8027-6748-6 (Hardcover edition),Bloomsbury Publishing
Robert,Asprin,Phule's Paradise,256,0-441-66253-6,Ace Books
Robert,Asprin,Another Fine Myth,159,ISBN 0-915442-54-X,Starblaze Graphics
Alfred Angelo,Attanasio,Radix (novel),467,0-688-00135-1,William Morrow and Company
Amelia,Atwater-Rhodes,Wolfcry,198,0385-73195-7,Dell Publishing
Amelia,Atwater-Rhodes,Snakecharm,167,0-385-73072-1,Dell Publishing
Jean Marie,Auel,The Clan of the Cave Bear,468,0-517-54202-1,Crown Publishing Group
Jean Marie,Auel,The Plains of Passage,760,0-517-58049-7,Crown Publishing Group
Jean Marie,Auel,The Shelters of Stone,753,ISBN 0-609-61059-7 (hardback),Crown Publishing Group
Jean Marie,Auel,The Valley of Horses,502,ISBN 0-517-54489-X (hardback),Crown Publishing Group
Jean Marie,Auel,The Land of Painted Caves,768,ISBN 0-517-58051-9 (hardback),Crown Publishing Group
Paul,Auster,Invisible (Auster novel),320,0-8050-9080-0,Henry Holt and Company
Paul,Auster,Oracle Night,256,0-8050-7320-5,Henry Holt and Company
Paul,Auster,Leviathan (Auster novel),275,0-14-017813-9,Viking Press
Paul,Auster,Moon Palace,320,0-670-82509-3,Viking Press
Paul,Auster,Mr. Vertigo,256,ISBN 0-571-17092-7 (hardback edition),Faber and Faber
Paul,Auster,Man in the Dark (novel),180,978-0-571-24076-0,Henry Holt and Company
Paul,Auster,Sunset Park (novel),320,978-0-8050-9286-8,Henry Holt and Company
Paul,Auster,Timbuktu (novella),181,0-8050-5407-3,Henry Holt (publisher)
Paul,Auster,The Book of Illusions,232,0-8050-5408-1,Henry Holt and Company
Paul,Auster,Travels in the Scriptorium,160,0-8050-8145-3,Henry Holt and Company
Paul,Auster,Winter Journal,230,9780805095531,Henry Holt and Company
Paul,Auster,The Brooklyn Follies,320,0-8050-7714-6,Henry Holt and Company
Richard,Bach,Jonathan Livingston Seagull,144,ISBN 9781476793313,Macmillan Publishers (United States)
Robin Wayne,Bailey,Swords Against the Shadowland,244,1-56504-893-8,White Wolf Publishing
James Robert,Baker,Boy Wonder (novel),470,0-453-00597-7,New American Library
James Robert,Baker,Adrenaline (novel),302,"0-451-13563-6, 1555835651, 9781555835651",Alyson Books
Nicholson,Baker,The Mezzanine,144,978-0-679-72576-3,Weidenfeld & Nicolson
Nicholson,Baker,Room Temperature (novel),128,0-8021-1224-2,Grove Press
Nicholson,Baker,U and I: A True Story,179,0394589947,Random House
Peter,Balakian,The Burning Tigris,465,978-0-06-019840-4,HarperCollins
David,Baldacci,The Guilty (Baldacci novel),432,978-1455586424,Grand Central Publishing
David,Baldacci,Last Man Standing (novel),548,978-0446525800,Grand Central Publishing
David,Baldacci,The Sixth Man (novel),417,978-0446573108,Grand Central Publishing
David,Baldacci,Split Second (novel),544,978-0446533126,Grand Central Publishing
David,Baldacci,Absolute Power (novel),505,"978-0-446-60358-4 (first edition, hardback)",Grand Central Publishing
David,Baldacci,Stone Cold (Baldacci novel),400,ISBN 978-0-4465-7739-7,Grand Central Publishing
David,Baldacci,King and Maxwell (novel),432,978-1455576203,Grand Central Publishing
David,Baldacci,The Innocent (Baldacci novel),448,978-1455519002,Grand Central Publishing
David,Baldacci,Simple Genius,420,978-0446580342,Grand Central Publishing
David,Baldacci,The Collectors (novel),448,ISBN 978-0-4465-3109-2,Grand Central Publishing
David,Baldacci,The Winner (novel),524,978-0-446-52259-5,Grand Central Publishing
David,Baldacci,Deliver Us From Evil (novel),416,978-0446564083,Grand Central Publishing
David,Baldacci,First Family (novel),464,978-0446539753,Grand Central Publishing
David,Baldacci,Hell's Corner,720,ISBN 978-0-4465-7369-6,Grand Central Publishing
David,Baldacci,Hour Game,736,978-0446577106,Grand Central Publishing
David,Baldacci,The Christmas Train,272,978-0446533270,Grand Central Publishing
David,Baldacci,The Forgotten (Baldacci novel),464,978-0446573054,Grand Central Publishing
David,Baldacci,The Simple Truth,480,978-0446523325,Grand Central Publishing
David,Baldacci,The Target (Baldacci novel),432,978-1455521203,Grand Central Publishing
David,Baldacci,Total Control (novel),520,978-0446520959,Grand Central Publishing
David,Baldacci,Memory Man (Baldacci novel),432,978-1455559817,Grand Central Publishing
David,Baldacci,True Blue (novel),464,0446195510,Grand Central Publishing
David,Baldacci,Zero Day (Baldacci novel),656,978-1455504145,Grand Central Publishing
David,Baldacci,Wish You Well (novel),365,"ISBN 0-446-61010-0 (first edition, hardback)",Grand Central Publishing
David,Baldacci,The Camel Club (novel),816,ISBN 978-0-4465-7880-6,Grand Central Publishing
David,Baldacci,The Whole Truth (novel),406,"ISBN 0-446-19597-9 (first edition, hardback)",Grand Central Publishing
David,Baldacci,The Escape (Baldacci novel),480,978-1455521197,Grand Central Publishing
David,Baldacci,Divine Justice (novel),400,ISBN 978-0-4461-9550-8,Grand Central Publishing
David,Baldacci,The Hit (Baldacci novel),392,978-0606322638,Grand Central Publishing
John Kendrick,Bangs,Pursuit of the House-Boat,204,NA,Harper (publisher)
John Kendrick,Bangs,The Enchanted Type-Writer,170,NA,Harper (publisher)
John Kendrick,Bangs,A House-Boat on the Styx,171,NA,Harper (publisher)
John Kendrick,Bangs,Alice in Blunderland: An Iridescent Dream,150,NA,Doubleday (publisher)
John Kendrick,Bangs,Rollo in Emblemland,150,NA,Doubleday (publisher)
Melissa,Bank,The Girls' Guide to Hunting and Fishing,288,ISBN 0-670-88300-X,Penguin Books
Russell,Banks,The Darling (novel),400,978-0060197353,HarperCollins
Russell,Banks,Cloudsplitter,768,"ISBN 0-06-016860-9 (first edition, hardcover)",HarperCollins
Russell,Banks,Rule of the Bone,320,0-436-20249-2,HarperCollins
Linwood,Barclay,Too Close to Home,466,978-1-4091-0209-0,Orion Publishing Group
Linwood,Barclay,No Time For Goodbye,448,978-0-7528-9368-6,Orion Publishing Group
Burl,Barer,Body Count (book),256,ISBN 978-0786029273,Kensington Books
Djuna,Barnes,Nightwood,180,978-0-8112-1671-5 (New Directions PublishingPaperback Reprint),Harcourt (publisher)
Mac,Barnett,The Clock Without a Face,30,978-1-934781-71-5,McSweeney's
Nevada,Barr,Naked Came the Phoenix,320,978-0-312-25194-9,St. Martin's Press
Neal,Barrett,"Babylon 5: The Touch of Your Shadow, the Whisper of Your Name",278,0-440-22230-3,Del Rey Books
John,Barth,Giles Goat-Boy,710,n/a,Doubleday (publisher)
John,Barth,LETTERS,772,0436036746,G. P. Putnam's Sons
John,Barth,Once Upon a Time: A Floating Opera,398,0-316-08262-7,"Little, Brown and Company"
John,Barth,Every Third Thought,182,1-58243-755-6,Counterpoint (publisher)
John,Barth,Sabbatical: A Romance,366,0-399-12717-8,G. P. Putnam's Sons
Donald,Barthelme,The Dead Father,192,978-0-374-52925-3,"Farrar, Straus and Giroux"
Christopher,Barzak,One for Sorrow (novel),320,978-0-553-38436-9,Bantam Books
T. J.,Bass,Half Past Human,279,0-345-02306-4,Ballantine Books
T. J.,Bass,The Godwhale,281,0-345-31095-0,Ballantine Books
Lyman Frank,Baum,Animal Fairy Tales,151,0-929605-04-7,The International Wizard of Oz Club
Lyman Frank,Baum,Glinda of Oz,279,"ISBN N/A (first edition, hardcover)",Reilly & Britton
Lyman Frank,Baum,Annabel (novel),213,N/A,Reilly & Britton
Lyman Frank,Baum,Sky Island,288,NA,Reilly & Britton
Lyman Frank,Baum,The Fate of a Crown,306,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces and Uncle John,275,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces on the Ranch,276,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces on Vacation,305,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces at Work,298,N/A,Reilly & Britton
Lyman Frank,Baum,Father Goose: His Book,106,N/A,George M. Hill Company
Lyman Frank,Baum,The Woggle-Bug Book,48,N/A,Reilly & Britton
Lyman Frank,Baum,Father Goose's Year Book,128,N/A,Reilly & Britton
Lyman Frank,Baum,The Daring Twins,317,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces,325,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces Abroad,347,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces in Society,264,N/A,Reilly & Britton
Lyman Frank,Baum,Sam Steele's Adventures on Land and Sea,271,N/A,Reilly & Britton
Lyman Frank,Baum,Aunt Jane's Nieces at Millville,306,N/A,Reilly & Britton
Lyman Frank,Baum,Daughters of Destiny (novel),319,N/A,Reilly & Britton
Peter S.,Beagle,The Last Unicorn: The Lost Version,92,ISBN 978-1-59606-083-8,Subterranean Press
Peter S.,Beagle,Tamsin (novel),288,0-451-45763-3,Roc Books
Elizabeth,Bear,Hammered (Bear novel),352,0-553-58750-1,Bantam Spectra
Greg,Bear,Corona (novel),192,"ISBN 0-7434-0372-X (first edition, paperback)",Pocket Books
Greg,Bear,Multiverse: Exploring Poul Anderson's Worlds,393,978-1-59606-502-4,Subterranean Press
Greg,Bear,Moving Mars,448,ISBN 0-312-85515-X,Tor Books
Greg,Bear,Darwin's Radio,448,ISBN 0-345-42333-X,Del Rey Books
Greg,Bear,Eternity (novel),367,0-445-20547-4,Grand Central Publishing
Greg,Bear,The Forge of God,474,0-312-93021-6,Tor Books
Greg,Bear,Blood Music (novel),262,0-87795-720-7,Arbor House
Greg,Bear,Foundation and Chaos,352,978-0-06-105242-2,Harper Prism
Greg,Bear,Queen of Angels (novel),420,0-446-51400-4,Grand Central Publishing
Greg,Bear,Halo: Cryptum,342,ISBN 978-0-7653-2396-5,Tor Books
Greg,Bear,The Wind from a Burning Woman,270,0-87054-094-7,Arkham House
Greg,Bear,Halo: Primordium,384,ISBN 978-0-7653-2397-2,Tor Books
Greg,Behrendt,He's Just Not That Into You,304,1-4169-0953-2,Simon & Schuster
Charles,Belfoure,The Paris Architect,384,1402284314,Sourcebooks
David J.,Bell,Cemetery Girl,392,0451234677,New American Library
John Anthony,Bellairs,The Face in the Frost,174,0-441-22529-2,Macmillan Publishers
John Anthony,Bellairs,The Dark Secret of Weatherend,182,0-8037-0072-5,Penguin Books
John Anthony,Bellairs,The Lamp from the Warlock's Tomb,168,0-8037-0512-3,Penguin Books
John Anthony,Bellairs,The Treasure of Alpheus Winterborn,180,0-15-289936-7,Penguin Books
John Anthony,Bellairs,St. Fidgeta and Other Parodies,123,ISBN B0007DKBT0,Macmillan Publishers
Gregory,Benford,Beyond the Fall of Night,298,0-399-13499-9,G. P. Putnam's Sons
Gregory,Benford,Alternate Americas,304,0-553-29007-X,Bantam Spectra
Gregory,Benford,Timescape,412,0-671-25327-1,Simon & Schuster
Gregory,Benford,Foundation's Fear,624,978-0-06-105638-3,Harper Prism
Gregory,Benford,Alternate Wars,296,0-553-29008-8,Bantam Spectra
Gertrude Barrows,Bennett,The Heads of Cerberus,191,NA,Fantasy Press
Donald Roynald,Bensen,And Having Writ...,250,"ISBN 0-672-52078-8 (first edition, hardback)",Bobbs-Merrill Company
Raymond,Benson,High Time to Kill,304,"ISBN 0-340-73876-6 (first edition, hardback)",Hodder & Stoughton
Raymond,Benson,The Man with the Red Tattoo,320,"ISBN 0-340-81914-6 (first edition, hardback)",Hodder & Stoughton
Raymond,Benson,DoubleShot,320,"ISBN 0-340-75168-1 (first edition, hardback)",Hodder & Stoughton
Raymond,Benson,The Facts of Death,284,"ISBN 0-340-69641-9 (first edition, hardback)",Hodder & Stoughton
Andrew Scott,Berg,Lindbergh (book),640,"ISBN 0399144498, ISBN 978-0399144493",G. P. Putnam's Sons
Andrew Scott,Berg,Wilson (book),832,"ISBN 0399159215, ISBN 9780399159213",G. P. Putnam's Sons
Andrew Scott,Berg,Kate Remembered,370,"ISBN 0-399-15164-8, ISBN 978-0-399-15164-4",G. P. Putnam's Sons
Elizabeth,Berg,Open House (novel),241,ISBN 0-375-50603-9 (hardback edition) & ISBN 0-345-43516-8 (paperback edition),Random House
Thomas,Berger,Neighbors (novel),275,0-440-06556-9,Dell Publishing
Thomas,Berger,Arthur Rex,499,ISBN 0-440-00362-8,Dell Publishing
Susan,Berman,Easy Street (book),214,978-0385271851,Dial Press
Alfred,Bester,The Stars My Destination,232,N/A,Sidgwick & Jackson
Alfred,Bester,The Computer Connection,183,0-399-11481-5,Berkley Books
Alfred,Bester,Psychoshop,207,0-679-76782-7,Vintage Books
Alfred,Bester,The Demolished Man,250,NA,Shasta Publishers
John Gregory,Betancourt,Tales from Jabba's Palace,464,ISBN 0-553-56815-9,Bantam Spectra
John Gregory,Betancourt,The Heart of the Warrior,274,"ISBN 0-671-88560-X (first edition, paperback)",Pocket Books
Ambrose,Bierce,A Vision of Doom,110,NA,"Donald M. Grant, Publisher"
Jeanne,Birdsall,The Penderwicks,272,0-375-83143-6,Alfred A. Knopf
David,Bischoff,Tin Woodman (novel),182,ISBN 0-385-12785-5,Doubleday (publisher)
Michael,Bishop,Blooded on Arachne,338,0-87054-093-9,Arkham House
Michael,Bishop,Who Made Stevie Crye?,309,0-87054-099-8,Arkham House
Michael,Bishop,One Winter in Eden,273,0-87054-096-3,Arkham House
Terry,Bisson,Boba Fett: Crossfire,133,ISBN 0-439-39002-8,Scholastic Corporation
Terry,Bisson,Boba Fett: The Fight to Survive,160,ISBN 0-439-54880-2,Scholastic Corporation
Holly,Black,Ironside: A Modern Faery's Tale,323,0-689-86820-0,Simon & Schuster
Holly,Black,Valiant: A Modern Tale of Faerie,314,0-689-86822-7,Simon & Schuster
Holly,Black,Doll Bones,244,9781416963981,Scholastic Corporation
Holly,Black,Tithe: A Modern Faerie Tale,310,0-689-84924-9,Simon & Schuster
James,Blaylock,The Elfin Ship,338,0-345-29491-2,Del Rey Books
James,Blaylock,Homunculus (novel),247,0-441-34258-2,Ace Books
James,Blaylock,Lord Kelvin's Machine,262,0-87054-163-3,Arkham House
James,Blaylock,The Digging Leviathan,276,ISBN 0-441-14800-X,Ace Books
James,Blaylock,The Stone Giant,264,0-441-28702-6,Ace Books
James Benjamin,Blish,The Seedling Stars,185,NA,Gnome Press
James Benjamin,Blish,Get Out of My Sky,176,0-449-00362-0 / 978-0-449-00362-6,Fawcett Publications
Robert,Bloch,Night of the Ripper,227,978-0-385-19422-8,Doubleday (publisher)
Robert,Bloch,The Early Fears,515,1-878252-12-7,Fedogan & Bremer
Robert,Bloch,Flowers from the Moon and Other Lunacies,296,0-87054-172-2,Arkham House
Robert,Bloch,Pleasant Dreams: Nightmares,233,NA,Arkham House
Robert,Bloch,The Opener of the Way,309,NA,Arkham House
Francesca Lia,Block,Echo (novel),224,0-06-440744-6,HarperCollins
Francesca Lia,Block,Weetzie Bat,109,0-06-073625-9,HarperCollins
Lawrence,Block,When the Sacred Ginmill Closes,239,978-0-87795-774-4,Arbor House
Alfred,Bloom,The Essential Shinran,272,978-1-933316-21-5,World Wisdom
Edward,Bloor,London Calling (Bloor novel),304,0-375-83635-7,Alfred A. Knopf
Judy,Blume,In The Unlikely Event (novel),409,9781101875049,Alfred A. Knopf
Judy,Blume,Freckle Juice,47,0-440-42813-0,Four Winds Press
Judy,Blume,"Are You There God? It's Me, Margaret.",149,0-440-40419-3,Random House
Judy,Blume,Double Fudge,213,0-525-46926-5,Scholastic Corporation
Judy,Blume,Fudge-a-Mania,160,0-525-44672-9,Dutton Children's Books
Judy,Blume,Places I Never Meant to Be,208,0-689-82034-8,Simon & Schuster
Judy,Blume,"Here's to You, Rachel Robinson",196,0-531-06801-3,Orchard Books
Judy,Blume,Just as Long as We're Together (novel),296,1-55736-046-4,Orchard Books
Judy,Blume,Superfudge,166,0-525-40522-4,E. P. Dutton
Judy,Blume,Tales of a Fourth Grade Nothing,120,0-525-40720-0,E. P. Dutton
Judy,Blume,Summer Sisters,399,0-385-32405-7,Dell Publishing
Judy,Blume,Smart Women,288,0-399-12840-9,G. P. Putnam's Sons
Judy,Blume,Wifey (novel),288,0-399-12241-9,G. P. Putnam's Sons
Robert,Bly,Iron John: A Book About Men,268,978-0-201-51720-0,Addison-Wesley
Charles,Bock,Beautiful Children,432,ISBN 978-0812977967,Random House
David,Bodanis,Passionate Minds,312,0-316-73085-8,"Little, Brown and Company"
Chris,Bohjalian,Midwives (novel),312,ISBN 0-517-70396-3 (hardback edition),Harmony Books
Hannes,Bok,Beyond the Golden Stair,209,0-345-02093-6,Ballantine Books
Hannes,Bok,The Sorcerer's Ship,205,0-345-21795-0,Ballantine Books
Nelson Slade,Bond,The Thirty-First of February,272,NA,Gnome Press
Nelson Slade,Bond,Other Worlds Than Ours,580,0-87054-184-6,Arkham House
Nelson Slade,Bond,The Far Side of Nowhere,423,0-87054-180-3,Arkham House
Nelson Slade,Bond,Nightmares and Daydreams,269,NA,Arkham House
Ben,Bova,Return to Mars,416,978-0-380-97640-9,HarperCollins
Ben,Bova,Vengeance of Orion,352,0-8125-3161-2,Tor Books
Ben,Bova,Mars Life,432,978-0-7653-1787-2,Tor Books
Ben,Bova,Mercury (novel),320,0-7653-0412-0,Tor Books
Ben,Bova,Venus (novel),404,0-340-72846-9,Hodder & Stoughton
Ben,Bova,The Precipice (Bova novel),352,978-0-312-84876-7,Tor Books
Ben,Bova,Jupiter (novel),444,978-0-340-76764-1,Hodder & Stoughton
Ben,Bova,Orion in the Dying Time,368,0-8125-1429-7,Tor Books
Mark,Bowden,Black Hawk Down (book),320,978-0-87113-738-8,New American Library
Mark,Bowden,In the Company of Heroes,361,978-0-451-21993-0,New American Library
T. Coraghessan,Boyle,The Harder They Come (novel),400,978-0-06-234937-8,HarperCollins
T. Coraghessan,Boyle,When the Killing's Done,384,978-0-670-02232-8,Viking Press
T. Coraghessan,Boyle,East Is East (novel),384,"ISBN 0-670-83220-0 (First edition, hardcover)",Viking Press
T. Coraghessan,Boyle,World's End (Boyle novel),456,"ISBN 0-670-81489-X (First edition, hardcover)",Viking Press
T. Coraghessan,Boyle,Drop City (novel),464,0-670-03172-0,Viking Press
T. Coraghessan,Boyle,Riven Rock,496,0-670-87881-2,Viking Press
T. Coraghessan,Boyle,Budding Prospects,326,ISBN 0-670-19439-5,Viking Press
T. Coraghessan,Boyle,Talk Talk (novel),352,0-670-03770-2,Penguin Group
T. Coraghessan,Boyle,The Inner Circle (novel),418,0-670-03344-8,Viking Press
T. Coraghessan,Boyle,The Road to Wellville,496,0-670-84334-2,Viking Press
T. Coraghessan,Boyle,The Tortilla Curtain,368,0-670-85604-5,Viking Press
T. Coraghessan,Boyle,Water Music (novel),437,0-316-10467-1,"Little, Brown and Company"
T. Coraghessan,Boyle,Greasy Lake & Other Stories,229,0-14-007781-2,Viking Press
T. Coraghessan,Boyle,The Women (novel),464,978-0-670-02041-6,Viking Press
T. Coraghessan,Boyle,After the Plague,256,ISBN 978-0-670-03005-7,Viking Press
Leigh,Brackett,The Long Tomorrow (novel),222,NA,Doubleday (publisher)
Leigh,Brackett,People of the Talisman,128,NA,Ace Books
Leigh,Brackett,The Secret of Sinharat,95,NA,Ace Books
Leigh,Brackett,The Starmen,247,NA,Gnome Press
Ray,Bradbury,The Cat's Pajamas: Stories,234,ISBN 0-06-058565-X,William Morrow and Company
Ray,Bradbury,Dark Carnival (short story collection),313,NA,Arkham House
Ray,Bradbury,The Circus of Dr. Lao and Other Improbable Stories,210,NA,Bantam Books
Ray,Bradbury,S Is for Space,239,NA,Doubleday (publisher)
Ray,Bradbury,The Golden Apples of the Sun,192,ISBN 0-435-12360-2 (hardcover reprint),Doubleday (publisher)
Ray,Bradbury,The Toynbee Convector (short story collection),275,0-394-54703-9,Alfred A. Knopf
